team,gp,off_plays,off_epa_per_play,off_yards_per_play,off_success_rate,off_explosive_rate,off_third_down_rate,off_third_down_conv_rate,off_pass_plays,off_pass_epa,off_pass_yards_per_att,off_pass_success_rate,off_pass_explosive_rate,off_air_yards_per_att,off_yac_per_rec,off_rush_plays,off_rush_epa,off_rush_yards_per_att,off_rush_success_rate,off_rush_explosive_rate,def_plays,def_epa_allowed,def_yards_per_play_allowed,def_success_rate_allowed,def_explosive_rate_allowed,def_third_down_rate_allowed,def_third_down_conv_rate_allowed,def_pass_plays,def_pass_epa_allowed,def_pass_yards_per_att_allowed,def_pass_success_rate_allowed,def_pass_explosive_rate_allowed,def_air_yards_per_att_allowed,def_yac_per_rec_allowed,def_rush_plays,def_rush_epa_allowed,def_rush_yards_per_att_allowed,def_rush_success_rate_allowed,def_rush_explosive_rate_allowed
DAL,2,138,0.09447173603041027,5.688405797101449,0.45652173913043476,0.07971014492753623,0.18115942028985507,0.09420289855072464,88,0.12820343193162653,6.034090909090909,0.4431818181818182,0.056818181818181816,8.011764705882353,3.76271186440678,50,0.03510395124426965,5.08,0.48,0.12,124,0.1925478749889687,6.540322580645161,0.4838709677419355,0.12096774193548387,0.20967741935483872,0.11290322580645161,68,0.27447343603039387,8.323529411764707,0.5294117647058824,0.11764705882352941,9.90625,4.040816326530612,56,0.09306683658152386,4.375,0.42857142857142855,0.125
SF,2,134,0.08156945904052773,5.470149253731344,0.4925373134328358,0.07462686567164178,0.208955223880597,0.11194029850746269,77,0.21042338775660768,6.909090909090909,0.5194805194805194,0.09090909090909091,7.041095890410959,4.923076923076923,57,-0.09249637448821184,3.526315789473684,0.45614035087719296,0.05263157894736842,116,-0.15698720562261462,4.629310344827586,0.4482758620689655,0.06896551724137931,0.1810344827586207,0.0603448275862069,60,-0.29197396387611363,5.516666666666667,0.4,0.08333333333333333,7.964285714285714,3.341463414634146,56,-0.012358536065294292,3.6785714285714284,0.5,0.05357142857142857
PHI,2,115,0.08030191835215365,4.547826086956522,0.46956521739130436,0.08695652173913043,0.22608695652173913,0.11304347826086956,48,-0.06810904208621822,4.958333333333333,0.4166666666666667,0.041666666666666664,6.2,3.3823529411764706,67,0.1866261885169574,4.253731343283582,0.5074626865671642,0.11940298507462686,112,-0.05153091217286721,5.366071428571429,0.42857142857142855,0.09821428571428571,0.20535714285714285,0.09821428571428571,64,-0.09328361037377228,5.640625,0.375,0.078125,10.32258064516129,3.864864864864865,48,0.00413935209500621,5.0,0.5,0.125
ARI,2,108,0.08011917735680724,5.287037037037037,0.42592592592592593,0.09259259259259259,0.2037037037037037,0.08333333333333333,60,0.1275857263897267,5.683333333333334,0.5,0.06666666666666667,6.037037037037037,5.605263157894737,48,0.02078599106565791,4.791666666666667,0.3333333333333333,0.125,145,-0.02907028714683987,4.606896551724138,0.4482758620689655,0.06206896551724138,0.2,0.06896551724137931,103,-0.0034849882748550494,4.961165048543689,0.4854368932038835,0.04854368932038835,7.181818181818182,3.7903225806451615,42,-0.09181518676146931,3.738095238095238,0.35714285714285715,0.09523809523809523
KC,2,115,0.04149620165134706,5.573913043478261,0.43478260869565216,0.13043478260869565,0.22608695652173913,0.0782608695652174,72,-0.04966922935482464,5.861111111111111,0.4027777777777778,0.08333333333333333,8.656716417910447,4.6,43,0.19414529542912295,5.093023255813954,0.4883720930232558,0.20930232558139536,115,0.1621949126897206,5.356521739130435,0.5043478260869565,0.08695652173913043,0.22608695652173913,0.10434782608695652,61,0.2083160017098188,6.524590163934426,0.4918032786885246,0.08196721311475409,9.089285714285714,4.7,54,0.11009516398183194,4.037037037037037,0.5185185185185185,0.09259259259259259
ATL,2,132,0.015785499823619226,5.196969696969697,0.4393939393939394,0.09090909090909091,0.22727272727272727,0.09090909090909091,67,0.0018763563483092905,5.925373134328358,0.44776119402985076,0.05970149253731343,6.666666666666667,6.2,65,0.03012261694432331,4.446153846153846,0.4307692307692308,0.12307692307692308,101,-0.14295150147443514,4.544554455445544,0.38613861386138615,0.07920792079207921,0.24752475247524752,0.10891089108910891,60,-0.20333871478089235,4.65,0.35,0.06666666666666667,11.056603773584905,3.107142857142857,41,-0.05457996980644899,4.390243902439025,0.43902439024390244,0.0975609756097561
DEN,2,123,0.00124319720495925,5.227642276422764,0.42276422764227645,0.08943089430894309,0.1951219512195122,0.0975609756097561,71,0.009712348576676987,5.23943661971831,0.43661971830985913,0.04225352112676056,5.142857142857143,4.617021276595745,52,-0.01032045178334766,5.211538461538462,0.40384615384615385,0.15384615384615385,122,-0.10252335527689409,4.967213114754099,0.3770491803278688,0.05737704918032787,0.22131147540983606,0.06557377049180328,69,-0.03530539359697032,5.333333333333333,0.37681159420289856,0.057971014492753624,10.048387096774194,5.571428571428571,53,-0.1900335318035873,4.490566037735849,0.37735849056603776,0.05660377358490566
WAS,2,126,-0.0007309625493234138,5.277777777777778,0.4444444444444444,0.0873015873015873,0.20634920634920634,0.07142857142857142,78,-0.09772149032539143,5.012820512820513,0.4230769230769231,0.038461538461538464,7.859154929577465,4.744186046511628,48,0.1568786450867871,5.708333333333333,0.4791666666666667,0.16666666666666666,123,-0.04168484785528458,5.178861788617886,0.42276422764227645,0.08130081300813008,0.22764227642276422,0.07317073170731707,72,-0.06571467126153135,5.916666666666667,0.3888888888888889,0.08333333333333333,9.323529411764707,5.944444444444445,51,-0.007760391281759727,4.137254901960785,0.47058823529411764,0.0784313725490196
NYJ,2,111,-0.0028277947525931144,4.936936936936937,0.43243243243243246,0.13513513513513514,0.22522522522522523,0.06306306306306306,50,0.11852661516895983,5.32,0.42,0.1,7.75,3.8076923076923075,61,-0.10229862255714472,4.622950819672131,0.4426229508196721,0.16393442622950818,120,0.1856600502921827,5.658333333333333,0.44166666666666665,0.08333333333333333,0.19166666666666668,0.075,62,0.16898430333820744,6.403225806451613,0.41935483870967744,0.11290322580645161,5.0,7.513513513513513,58,0.20348584876022516,4.862068965517241,0.46551724137931033,0.05172413793103448
NYG,2,127,-0.0042545105026526205,5.803149606299213,0.4015748031496063,0.10236220472440945,0.23622047244094488,0.07874015748031496,83,0.06842897678638053,6.975903614457831,0.40963855421686746,0.12048192771084337,9.58974358974359,4.702127659574468,44,-0.14136199788878334,3.590909090909091,0.38636363636363635,0.06818181818181818,145,0.15591340202344459,6.296551724137931,0.4896551724137931,0.11724137931034483,0.16551724137931034,0.06896551724137931,88,0.1302641506675901,6.306818181818182,0.4772727272727273,0.056818181818181816,7.670731707317073,4.280701754385965,57,0.19551224622195681,6.280701754385965,0.5087719298245614,0.21052631578947367
PIT,2,113,-0.025659531356499524,4.787610619469026,0.37168141592920356,0.07964601769911504,0.22123893805309736,0.07964601769911504,73,0.032956830601813016,5.684931506849315,0.3835616438356164,0.1095890410958904,4.923076923076923,7.619047619047619,40,-0.1326343919304199,3.15,0.35,0.025,128,0.14311569864430546,6.1640625,0.46875,0.140625,0.21875,0.1015625,59,0.21877966644173621,8.305084745762711,0.5254237288135594,0.13559322033898305,7.890909090909091,5.421052631578948,69,0.07841752328128497,4.333333333333333,0.42028985507246375,0.14492753623188406
MIA,2,99,-0.03269525086869765,5.767676767676767,0.45454545454545453,0.08080808080808081,0.20202020202020202,0.09090909090909091,72,-0.08625610719687676,6.0,0.4583333333333333,0.06944444444444445,7.698412698412699,4.977777777777778,27,0.11013369933978,5.148148148148148,0.4444444444444444,0.1111111111111111,123,0.298761815409367,6.146341463414634,0.5203252032520326,0.12195121951219512,0.21951219512195122,0.11382113821138211,56,0.4997895267718512,8.446428571428571,0.5714285714285714,0.10714285714285714,6.346153846153846,5.878048780487805,67,0.13073865367355944,4.223880597014926,0.47761194029850745,0.13432835820895522
